FID,ID,SITE_NAME,DATE, pH continuous 0475 (pH units),Conductivity 25C continuous 0473 (uS/cm),Oxygen,Temperature,Battery (vol)
29033,S1,Swale at Catterick Bridge,28/06/1995 20:00,8.43,420,92.9,20.8,12.9
29033,S1,Swale at Catterick Bridge,28/06/1995 20:30,8.4,421,89.5,20.5,12.9
29033,S1,Swale at Catterick Bridge,28/06/1995 21:00,8.39,422,85.9,20.3,12.9
29033,S1,Swale at Catterick Bridge,28/06/1995 21:30,8.33,423,82.9,20.1,12.8
29033,S1,Swale at Catterick Bridge,28/06/1995 22:00,8.29,424,80,19.9,12.9
29033,S1,Swale at Catterick Bridge,28/06/1995 22:30,8.24,426,77.3,19.7,12.9
29033,S1,Swale at Catterick Bridge,28/06/1995 23:00,8.21,427,75.7,19.4,12.9
29033,S1,Swale at Catterick Bridge,28/06/1995 23:30,8.17,430,74.7,19.1,12.9
29033,S1,Swale at Catterick Bridge,29/06/1995 00:00,8.15,432,72.5,19,12.8
29033,S1,Swale at Catterick Bridge,29/06/1995 00:30,8.12,432,71.7,18.7,12.8
29033,S1,Swale at Catterick Bridge,29/06/1995 01:00,8.1,433,70.9,18.5,12.8
29033,S1,Swale at Catterick Bridge,29/06/1995 01:30,8.07,434,71.7,18.3,12.8
29033,S1,Swale at Catterick Bridge,29/06/1995 02:00,8.06,433,71.5,18,12.8
29033,S1,Swale at Catterick Bridge,29/06/1995 02:30,8.04,434,71.2,17.8,12.8
29033,S1,Swale at Catterick Bridge,29/06/1995 03:00,8.03,434,70.8,17.6,12.6
29033,S1,Swale at Catterick Bridge,04/07/1995 09:30,8.28,425,96.6,14.2,12.9
29033,S1,Swale at Catterick Bridge,04/07/1995 10:00,8.4,425,102,14.3,12.9
29033,S1,Swale at Catterick Bridge,04/07/1995 10:30,8.46,423,105.2,14.4,12.8
29033,S1,Swale at Catterick Bridge,04/07/1995 11:00,8.52,424,107.3,14.6,12.8
29033,S1,Swale at Catterick Bridge,04/07/1995 11:30,8.54,423,109.5,14.7,12.8
29033,S1,Swale at Catterick Bridge,04/07/1995 12:00,8.58,422,111.8,14.9,12.8
29033,S1,Swale at Catterick Bridge,04/07/1995 12:30,8.61,422,112.8,15,12.8
29033,S1,Swale at Catterick Bridge,04/07/1995 13:00,8.64,423,114.4,15.1,12.8
29033,S1,Swale at Catterick Bridge,04/07/1995 13:30,8.68,424,115.3,15.3,12.8
29033,S1,Swale at Catterick Bridge,04/07/1995 14:00,8.68,426,116.4,15.5,12.9
29033,S1,Swale at Catterick Bridge,04/07/1995 14:30,8.7,426,117.9,15.8,12.8
29033,S1,Swale at Catterick Bridge,04/07/1995 15:00,8.72,426,118.4,15.9,12.9
29033,S1,Swale at Catterick Bridge,04/07/1995 15:30,8.73,426,118,16.2,12.9
29033,S1,Swale at Catterick Bridge,04/07/1995 16:00,8.76,425,118.4,16.4,12.9
